iter	Passed	Remaining
662	3884	1974
663	3889	1968
664	3895	1962
665	3901	1956
666	3906	1950
667	3912	1944
668	3917	1938
669	3923	1932
670	3928	1926
671	3934	1920
672	3940	1914
673	3946	1908
674	3951	1902
675	3957	1896
676	3962	1890
677	3968	1884
678	3974	1879
679	3980	1873
680	3986	1867
681	3992	1861
682	3998	1855
683	4004	1850
684	4010	1844
685	4016	1838
686	4022	1832
687	4028	1826
688	4034	1820
689	4039	1815
690	4045	1809
691	4051	1803
692	4056	1797
693	4063	1791
694	4069	1785
695	4075	1780
696	4081	1774
697	4087	1768
698	4092	1762
699	4098	1756
700	4104	1750
701	4109	1744
702	4115	1738
703	4120	1732
704	4126	1726
705	4132	1720
706	4138	1715
707	4143	1709
708	4149	1703
709	4155	1697
710	4161	1691
711	4167	1685
712	4173	1680
713	4179	1674
714	4185	1668
715	4191	1662
716	4197	1656
717	4202	1650
718	4208	1644
719	4214	1638
720	4220	1633
721	4226	1627
722	4232	1621
723	4237	1615
724	4243	1609
725	4249	1603
726	4255	1597
727	4261	1592
728	4266	1586
729	4272	1580
730	4277	1574
731	4283	1568
732	4289	1562
733	4294	1556
734	4300	1550
735	4306	1544
736	4311	1538
737	4317	1532
738	4322	1526
739	4328	1520
740	4334	1514
741	4339	1509
742	4346	1503
743	4352	1497
744	4357	1491
745	4363	1485
746	4369	1479
747	4374	1473
748	4380	1467
749	4385	1461
750	4391	1456
751	4397	1450
752	4402	1444
753	4408	1438
754	4414	1432
755	4419	1426
756	4425	1420
757	4431	1414
758	4438	1409
759	4445	1403
760	4451	1398
761	4458	1392
762	4464	1386
763	4469	1380
764	4475	1374
765	4481	1368
766	4487	1363
767	4492	1357
768	4499	1351
769	4505	1345
770	4511	1339
771	4516	1333
772	4523	1328
773	4529	1322
774	4535	1316
775	4541	1311
776	4547	1305
777	4553	1299
778	4559	1293
779	4565	1287
780	4571	1281
781	4576	1275
782	4582	1270
783	4588	1264
784	4594	1258
785	4599	1252
786	4605	1246
787	4611	1240
788	4617	1234
789	4623	1229
790	4629	1223
791	4634	1217
792	4640	1211
793	4646	1205
794	4651	1199
795	4657	1193
796	4663	1187
797	4669	1181
798	4674	1176
799	4680	1170
800	4686	1164
801	4692	1158
802	4697	1152
803	4703	1146
804	4709	1140
805	4715	1134
806	4721	1129
807	4726	1123
808	4733	1117
809	4738	1111
810	4749	1106
811	4756	1101
812	4761	1095
813	4766	1089
814	4772	1083
815	4778	1077
816	4784	1071
817	4790	1065
818	4795	1059
819	4801	1054
820	4807	1048
821	4812	1042
822	4818	1036
823	4824	1030
824	4830	1024
825	4835	1018
826	4841	1012
827	4847	1006
828	4852	1001
829	4858	995
830	4864	989
831	4870	983
832	4875	977
833	4881	971
834	4886	965
835	4892	959
836	4897	953
837	4903	947
838	4909	942
839	4915	936
840	4921	930
841	4927	924
842	4933	918
843	4939	912
844	4944	907
845	4951	901
846	4957	895
847	4963	889
848	4968	883
849	4974	877
850	4979	871
851	4985	865
852	4990	860
853	4996	854
854	5002	848
855	5007	842
856	5013	836
857	5019	830
858	5025	824
859	5030	818
860	5036	813
861	5042	807
862	5048	801
863	5054	795
864	5060	789
865	5066	783
866	5072	778
867	5077	772
868	5083	766
869	5089	760
870	5095	754
871	5100	748
872	5107	742
873	5113	737
874	5119	731
875	5124	725
876	5131	719
877	5137	713
878	5143	707
879	5149	702
880	5155	696
881	5160	690
882	5166	684
883	5172	678
884	5178	672
885	5184	667
886	5189	661
887	5195	655
888	5201	649
889	5206	643
890	5212	637
891	5219	631
892	5225	626
893	5231	620
894	5237	614
895	5242	608
896	5248	602
897	5254	596
898	5259	590
899	5266	585
900	5271	579
901	5277	573
902	5283	567
903	5289	561
904	5295	555
905	5301	550
906	5306	544
907	5312	538
908	5318	532
909	5324	526
910	5330	520
911	5336	514
912	5342	509
913	5348	503
914	5354	497
915	5359	491
916	5365	485
917	5371	479
918	5377	473
919	5383	468
920	5389	462
921	5395	456
922	5401	450
923	5407	444
924	5412	438
925	5418	433
926	5424	427
927	5430	421
928	5436	415
929	5441	409
930	5447	403
931	5453	397
932	5459	392
933	5464	386
934	5470	380
935	5476	374
936	5481	368
937	5487	362
938	5493	356
939	5499	351
940	5505	345
941	5510	339
942	5516	333
943	5521	327
944	5526	321
945	5532	315
946	5538	309
947	5544	304
948	5550	298
949	5556	292
950	5561	286
951	5567	280
952	5573	274
953	5579	269
954	5585	263
955	5591	257
956	5597	251
957	5603	245
958	5609	239
959	5615	233
960	5621	228
961	5627	222
962	5633	216
963	5640	210
964	5646	204
965	5651	198
966	5658	193
967	5663	187
968	5669	181
969	5674	175
970	5680	169
971	5686	163
972	5692	157
973	5698	152
974	5704	146
975	5710	140
976	5716	134
977	5721	128
978	5728	122
979	5734	117
980	5741	111
981	5749	105
982	5756	99
983	5769	93
984	5775	87
985	5781	82
986	5788	76
987	5794	70
988	5800	64
989	5806	58
990	5812	52
991	5817	46
992	5823	41
993	5829	35
994	5835	29
995	5841	23
996	5847	17
997	5852	11
998	5858	5
999	5864	0
