iter	Logloss
0	0.5860639941
1	0.4996901707
2	0.4405007326
3	0.3850323097
4	0.3494148902
5	0.3160571298
6	0.2914283575
7	0.270627641
8	0.2547769888
9	0.2414485244
10	0.2307558637
11	0.2226591067
12	0.2170523954
13	0.2111657165
14	0.2065818493
15	0.2024181173
16	0.1991482672
17	0.1960448216
18	0.1940015519
19	0.1920585043
20	0.1905626124
21	0.1892928199
22	0.1879993096
23	0.1870066212
24	0.1861643166
25	0.1853343146
26	0.1846543132
27	0.1842097469
28	0.1835568365
29	0.1832060085
30	0.1827672849
31	0.1823963501
32	0.1820285035
33	0.1817687078
34	0.1814460178
35	0.1811485331
36	0.1809855004
37	0.1806836603
38	0.1805361016
39	0.1802988108
40	0.1801396937
41	0.1798846535
42	0.179756825
43	0.1796369146
44	0.1795051603
45	0.1793271075
46	0.1792004405
47	0.1790686915
48	0.1789717381
49	0.1788283897
50	0.1787081572
51	0.1786199212
52	0.1784833439
53	0.1783931403
54	0.1783398562
55	0.1782995537
56	0.1782332507
57	0.178169372
58	0.1780971689
59	0.1780660448
60	0.1780073649
61	0.177957621
62	0.1778403325
63	0.1777950469
64	0.1777512504
65	0.17771203
66	0.1776771656
67	0.1775946474
68	0.1775119703
69	0.1774635884
70	0.1774178936
71	0.1773690219
72	0.177313967
73	0.1772593453
74	0.1771910332
75	0.1771572589
76	0.177120472
77	0.1770860347
78	0.17701883
79	0.1769960899
80	0.1769579642
81	0.1769396891
82	0.1768819689
83	0.1768492533
84	0.1767973559
85	0.1767735958
86	0.1767231218
87	0.1766893229
88	0.1766614569
89	0.1766174709
90	0.1765743306
91	0.1765285056
92	0.1765063662
93	0.1764760958
94	0.1764396216
95	0.1763737953
96	0.1763141363
97	0.1762643819
98	0.1762258731
99	0.1761843334
100	0.1761511427
101	0.1761099296
102	0.1760660356
103	0.176031494
104	0.1760018826
105	0.175961591
106	0.1759120919
107	0.175867115
108	0.1758333736
109	0.175805146
110	0.1757843802
111	0.1757390144
112	0.1756772208
113	0.1756356438
114	0.1756069529
115	0.175589281
116	0.1755567108
117	0.1755293433
118	0.1755080957
119	0.1754946924
120	0.1754644702
121	0.1754364585
122	0.1753856089
123	0.1753687089
124	0.1753583482
125	0.1753387048
126	0.1752915536
127	0.1752643777
128	0.1752374244
129	0.1752153668
130	0.1751849233
131	0.1751637678
132	0.1751443965
133	0.1751240689
134	0.1751092698
135	0.1750890469
136	0.1750560191
137	0.1750284512
138	0.1749841013
139	0.1749585228
140	0.1749392845
141	0.174904301
142	0.1748786552
143	0.1748421478
144	0.1748279075
145	0.17481456
146	0.174786848
147	0.1747641757
148	0.1747339036
149	0.1747258055
150	0.174699923
151	0.174683609
152	0.1746765871
153	0.1746469399
154	0.1746009293
155	0.1745621926
156	0.1745269353
157	0.1745013414
158	0.1744663973
159	0.1744395169
160	0.1744036456
161	0.1743680956
162	0.1743367106
163	0.1743031845
164	0.1742667845
165	0.1742367844
166	0.1741981945
167	0.1741651766
168	0.1741340438
169	0.1741057842
170	0.1740673612
171	0.1740595904
172	0.1740500351
173	0.1740137134
174	0.1739782478
175	0.1739682573
176	0.1739334655
177	0.1739165249
178	0.1738875464
179	0.1738548812
180	0.1738438701
181	0.1738280883
182	0.1737974855
183	0.1737579352
184	0.1737302584
185	0.1737259135
186	0.1737009399
187	0.1736785166
188	0.1736449239
189	0.1736150817
190	0.1736056154
191	0.1735624805
192	0.1735549303
193	0.1735104423
194	0.1734960381
195	0.1734667505
196	0.1734323489
197	0.1734072897
198	0.1733750721
199	0.1733460804
200	0.1733235603
201	0.1732826148
202	0.1732629336
203	0.173235342
204	0.1732200367
205	0.1732037227
206	0.1731870581
207	0.1731571026
208	0.1731398808
209	0.1731040016
210	0.1730780246
211	0.1730725778
212	0.173035397
213	0.1730343712
214	0.1730198861
215	0.1729874057
216	0.1729593837
217	0.1729220814
218	0.1729171818
219	0.1728962899
220	0.172878725
221	0.1728529796
222	0.1728168504
223	0.1728043402
224	0.1727642841
225	0.1727359331
226	0.172713557
227	0.1726802163
228	0.1726556494
229	0.1726360058
230	0.172607661
231	0.1725856444
232	0.1725545443
233	0.172553683
234	0.1725469361
235	0.1725213429
236	0.1725014547
237	0.1724769471
238	0.1724652532
239	0.1724337738
240	0.1724012966
241	0.1723854389
242	0.1723475925
243	0.1723247224
244	0.1723080275
245	0.1722854207
246	0.1722534245
247	0.1722366081
248	0.1722161226
249	0.1721902215
250	0.1721670682
251	0.1721492097
252	0.1721359189
253	0.1721132967
254	0.1720902901
255	0.1720697709
256	0.1720566208
257	0.1720423506
258	0.172020501
259	0.1720066191
260	0.1719891366
261	0.1719481358
262	0.1719374214
263	0.1719075407
264	0.1718871618
265	0.171858476
266	0.1718476052
267	0.1718248266
268	0.1718241339
269	0.1718087171
270	0.1717914081
271	0.1717656387
272	0.171750367
273	0.1717309167
274	0.1717073326
275	0.1716838257
276	0.1716678478
277	0.171649289
278	0.1716385129
279	0.1716184613
280	0.1715955384
281	0.1715731104
282	0.171545313
283	0.1715169316
284	0.1715019932
285	0.1714858727
286	0.1714852929
287	0.1714744132
288	0.1714553588
289	0.171431685
290	0.1714083584
291	0.1713783504
292	0.1713661057
293	0.1713396599
294	0.1713067644
295	0.1713062149
296	0.1712997379
297	0.1712784909
298	0.1712457007
299	0.1712319551
300	0.171208712
301	0.1711862821
302	0.1711693572
303	0.1711498976
304	0.1711243964
305	0.171096504
306	0.1710752079
307	0.1710509454
308	0.1710255182
309	0.1710017733
310	0.1709871618
311	0.1709763188
312	0.1709523755
313	0.1709309479
314	0.1709120784
315	0.1708882091
316	0.1708559042
317	0.1708442598
318	0.1708272149
319	0.170816165
320	0.1707820863
321	0.1707558397
322	0.1707343491
323	0.1707147433
324	0.1706991785
325	0.170684956
326	0.1706751375
327	0.170674639
328	0.1706741795
329	0.170661643
330	0.1706426844
331	0.1706213105
332	0.1706044124
333	0.1705840118
334	0.1705604768
335	0.1705600279
336	0.1705310207
337	0.1705069249
338	0.1704909588
339	0.1704715747
340	0.1704527755
341	0.1704360647
342	0.1704196387
343	0.1703999737
344	0.1703786393
345	0.1703629895
346	0.1703625854
347	0.1703479195
348	0.1703322487
349	0.1703156574
350	0.1703035179
351	0.1702893175
352	0.1702759326
353	0.1702583582
354	0.1702285334
355	0.1702146809
356	0.170199937
357	0.1701876452
358	0.1701699581
359	0.1701523482
360	0.1701506241
361	0.170127255
362	0.170115145
363	0.1701002073
364	0.1700860563
365	0.1700713348
366	0.1700564215
367	0.170025583
368	0.1700051864
369	0.1699881275
370	0.169964199
371	0.1699430771
372	0.1699173622
373	0.1699170201
374	0.1698983364
375	0.1698792642
376	0.1698596292
377	0.1698481962
378	0.1698316048
379	0.1698105452
380	0.1697875153
381	0.1697724474
382	0.1697547305
383	0.1697368552
384	0.1697138005
385	0.1696868317
386	0.1696672519
387	0.1696415533
388	0.1696270607
389	0.1696122072
390	0.1695909361
391	0.1695619048
392	0.169545539
393	0.1695192622
394	0.1694908051
395	0.1694697502
396	0.1694543802
397	0.1694346724
398	0.1694092273
399	0.1693924623
400	0.1693634145
401	0.1693522126
402	0.1693417535
403	0.169332998
404	0.1693123455
405	0.1692976929
406	0.1692745792
407	0.1692743297
408	0.1692546889
409	0.1692286835
410	0.169208851
411	0.1691934514
412	0.1691842642
413	0.1691709858
414	0.1691537137
415	0.1691318995
416	0.1691131836
417	0.1690990883
418	0.1690735789
419	0.1690493493
420	0.1690277382
421	0.1689983102
422	0.1689826651
423	0.1689580137
424	0.1689465731
425	0.1689322266
426	0.1689190339
427	0.1689016095
428	0.1688860121
429	0.1688621112
430	0.1688434535
431	0.1688253661
432	0.1688087847
433	0.1687921672
434	0.1687770727
435	0.1687767558
436	0.1687598236
437	0.16874615
438	0.1687327907
439	0.1687219764
440	0.1687034592
441	0.168688292
442	0.1686670198
443	0.1686430777
444	0.1686248868
445	0.1686108578
446	0.1685883231
447	0.1685643301
448	0.1685420939
449	0.1685237379
450	0.1685137303
